metric,mean_svi,mean_no_svi,u_stat,p_value,differences_significativas
ardor_frecuencia,1.2222222222222223,0.75,151.5,0.024033507671912528,False
ardor_intensidad,1.0,0.8333333333333334,52.5,0.140016503197169,False
ardor_severidad,1.1111111111111112,0.4166666666666667,165.5,0.008245631929137848,True
picor_frecuencia,1.2777777777777777,0.6666666666666666,162.0,0.00821050517855913,True
picor_intensidad,1.0,1.0,48.0,1.0,False
picor_severidad,1.2222222222222223,0.5,168.0,0.005473070658501231,True
sensacion_cuerpo_extraño_frecuencia,0.5,0.0,156.0,0.009052959659043602,True
sensacion_cuerpo_extraño_intensidad,1.0,,,,False
sensacion_cuerpo_extraño_severidad,0.3333333333333333,0.0,138.0,0.05379603005233645,False
lagrimeo_frecuencia,1.0555555555555556,0.3333333333333333,170.0,0.004135101666102022,True
lagrimeo_intensidad,1.0,,,,False
lagrimeo_severidad,0.8333333333333334,0.0,174.0,0.0011886792109646101,True
parpadeo_excesivo_frecuencia,0.9444444444444444,0.75,125.0,0.42406500909380884,False
parpadeo_excesivo_intensidad,1.0,1.0,27.5,1.0,False
parpadeo_excesivo_severidad,0.7777777777777778,0.5,131.0,0.2966390433578946,False
enrojecimiento_ocular_frecuencia,1.1666666666666667,0.75,145.5,0.060304957151904905,False
enrojecimiento_ocular_intensidad,1.0625,1.0,59.5,0.5707503880581739,False
enrojecimiento_ocular_severidad,1.2222222222222223,0.5833333333333334,162.0,0.011245229189847388,False
dolor_ocular_frecuencia,0.4444444444444444,0.0,150.0,0.017010684046403723,False
dolor_ocular_intensidad,1.0,,,,False
dolor_ocular_severidad,0.3333333333333333,0.0,138.0,0.05379603005233645,False
pesadez_parpados_frecuencia,0.8888888888888888,0.5833333333333334,133.5,0.23104870510038078,False
pesadez_parpados_intensidad,1.0,1.0,19.5,1.0,False
pesadez_parpados_severidad,0.8888888888888888,0.25,163.5,0.00999279417200913,True
sequedad_frecuencia,0.7222222222222222,0.08333333333333333,160.5,0.009819525978758372,True
sequedad_intensidad,1.1428571428571428,,,,False
sequedad_severidad,0.6666666666666666,0.0,150.0,0.017558135702764627,False
vision_borrosa_frecuencia,0.6666666666666666,0.3333333333333333,140.0,0.12963458087901286,False
vision_borrosa_intensidad,1.0,,,,False
vision_borrosa_severidad,0.4444444444444444,0.0,150.0,0.017010684046403723,False
vision_doble_frecuencia,0.16666666666666666,0.0,126.0,0.1541735209587946,False
vision_doble_intensidad,1.0,,,,False
vision_doble_severidad,0.05555555555555555,0.0,114.0,0.4541856382715067,False
dificultad_al_enfocar_frecuencia,0.4444444444444444,0.3333333333333333,121.0,0.5226491401156735,False
dificultad_al_enfocar_intensidad,0.75,1.0,1.5,1.0,False
dificultad_al_enfocar_severidad,0.16666666666666666,0.16666666666666666,115.5,0.6156299608622735,False
aumento_sensiblidad_luz_frecuencia,0.8333333333333334,0.5833333333333334,127.5,0.3681741371827343,False
aumento_sensiblidad_luz_intensidad,1.1818181818181819,1.0,13.0,0.6366573664363877,False
aumento_sensiblidad_luz_severidad,0.9444444444444444,0.16666666666666666,160.0,0.014225487344722332,False
halos_de_colores_frecuencia,0.6111111111111112,0.5,114.0,0.7938904302695171,False
halos_de_colores_intensidad,1.0,,,,False
halos_de_colores_severidad,0.4444444444444444,0.0,150.0,0.017010684046403723,False
sensacion_de_ver_peor_frecuencia,0.2777777777777778,0.08333333333333333,123.5,0.326799567668966,False
sensacion_de_ver_peor_intensidad,1.0,1.0,1.0,1.0,False
sensacion_de_ver_peor_severidad,0.1111111111111111,0.08333333333333333,111.0,0.8386947252708501,False
dolor_de_cabeza_frecuencia,0.7222222222222222,0.3333333333333333,138.0,0.16235006611668046,False
dolor_de_cabeza_intensidad,1.4,1.0,3.5,0.7236736098317631,False
dolor_de_cabeza_severidad,0.5555555555555556,0.08333333333333333,130.5,0.1821107048872581,False
severity_check,1.0,1.0,108.0,1.0,False
trabajador,13.722222222222221,18.166666666666668,76.0,0.1823673381831563,False
edad,0.2777777777777778,0.4166666666666667,93.0,0.45242868766263356,False
sexo,0.5555555555555556,0.5,114.0,0.7876967108361368,False
estado_civil,0.5555555555555556,0.6666666666666666,96.0,0.5663601306200526,False
experiencia_radiologia,0.3888888888888889,0.3333333333333333,114.0,0.7803988583551053,False
ingresos_mensuales,0.5,0.4166666666666667,117.0,0.6772671939875615,False
condiciones_oculares,0.4444444444444444,0.25,129.0,0.2987298674806742,False
lentes,0.3333333333333333,0.3333333333333333,108.0,1.0,False
iluminacion,0.4444444444444444,0.5,102.0,0.7876967108361368,False
tiempo_de_exposicion,0.3888888888888889,0.25,123.0,0.45242868766263356,False
frecuencia_de_pausas,0.8888888888888888,1.0,96.0,0.26009138331422954,False
duracion_de_jornada,0.7222222222222222,0.4166666666666667,141.0,0.10511725070792574,False
uso_de_dispositivos,0.7777777777777778,0.6666666666666666,120.0,0.5252663777577253,False
distancia_hacia_el_monitor,0.7222222222222222,0.4166666666666667,141.0,0.10511725070792574,False
